player,kills,deaths,damage,objMainStat
Abuzah,13.142857142857142,15.571428571428571,3274.285714285714,54.42857142857143
Accuracy,15.333333333333334,19.0,3177.0,25.666666666666668
Afro,14.25,16.0,2682.0,27.875
Arcitys,13.142857142857142,14.714285714285714,2843.5714285714284,12.571428571428571
Asim,16.142857142857142,16.142857142857142,3103.5714285714284,24.0
Assault,13.333333333333334,15.333333333333334,2911.777777777778,22.666666666666668
Attach,18.5,16.9,4009.7,28.9
Breszy,16.428571428571427,18.285714285714285,3371.714285714286,12.0
Cellium,15.8,15.6,3656.2,26.6
Clayster,9.666666666666666,19.333333333333332,2416.3333333333335,21.333333333333332
CleanX,18.428571428571427,14.857142857142858,3723.8571428571427,23.142857142857142
Dashy,16.75,15.25,3567.75,24.125
Diamondcon,15.222222222222221,17.11111111111111,3204.3333333333335,20.22222222222222
Drazah,17.8,16.0,3695.4,16.4
Envoy,19.285714285714285,16.571428571428573,3415.8571428571427,38.857142857142854
EriKBooM,15.166666666666666,17.5,2998.0,14.0
Estreal,18.333333333333332,17.444444444444443,3658.6666666666665,15.444444444444445
Fame,17.0,18.0,3363.222222222222,25.22222222222222
FelonY,16.333333333333332,15.666666666666666,3363.6666666666665,19.666666666666668
Ghosty,16.875,14.875,3538.5,36.0
Gio,20.6,16.9,3928.2,22.4
Gwinn,16.333333333333332,16.666666666666668,3360.3333333333335,13.333333333333334
Huke,17.285714285714285,18.714285714285715,3527.1428571428573,7.142857142857143
HyDra,19.25,15.0,3604.5,6.25
Hydra,16.8,16.8,3423.0,18.0
Insight,16.142857142857142,14.571428571428571,3406.285714285714,28.857142857142858
Kenny,15.375,13.875,3129.125,34.5
KiSMET,15.88888888888889,16.11111111111111,2900.4444444444443,31.666666666666668
Kremp,13.375,16.625,2855.875,31.875
Lucky,17.5,15.5,3150.3333333333335,29.166666666666668
Lyynnz,18.333333333333332,19.0,3193.3333333333335,2.6666666666666665
MettalZ,15.166666666666666,18.833333333333332,3289.0,17.166666666666668
Nastie,15.125,16.625,3111.25,22.0
Nero,16.9,17.1,3304.1,44.2
Owakening,13.0,17.666666666666668,3550.0,20.666666666666668
Pred,16.125,14.5,3046.75,13.5
Priestahh,14.0,14.428571428571429,2868.1428571428573,19.428571428571427
Purj,17.5,17.2,3441.2,23.1
Scrap,18.857142857142858,15.428571428571429,4021.8571428571427,42.57142857142857
Shotzzy,16.625,15.625,2989.75,36.625
Sib,16.22222222222222,14.88888888888889,3292.3333333333335,29.333333333333332
Simp,21.4,17.4,3901.0,14.0
Skyz,13.444444444444445,14.444444444444445,2955.1111111111113,28.666666666666668
SlasheR,13.571428571428571,12.857142857142858,2926.285714285714,21.0
Snoopy,14.428571428571429,14.428571428571429,2757.0,40.57142857142857
TJHaly,15.666666666666666,20.333333333333332,3125.3333333333335,4.666666666666667
Vikul,16.0,15.5,3070.8333333333335,27.166666666666668
Vivid,19.0,20.333333333333332,3853.0,13.0
aBeZy,14.4,18.0,2865.2,25.4
