,away_team,home_team,week,,,,
0,Liberty University,Illinois State University ,,,30 matches,6 weeks,5 matches per week
1,Ferris State University,Illinois State University ,,,,,
2,Adrian College,Illinois State University ,,,,,
3,Southern Illinois University Edwardsville,Illinois State University ,WEEK1,,,,
4,Illinois State University ,Liberty University,WEEK1,,,,
5,Ferris State University,Liberty University,,,,,
6,Adrian College,Liberty University,,,,,
7,Southern Illinois University Edwardsville,Liberty University,,,,,
8,Illinois State University ,Ferris State University,,,,,
9,Liberty University,Ferris State University,WEEK1,,,,
10,Adrian College,Ferris State University,,,,,
11,Southern Illinois University Edwardsville,Ferris State University,,,,,
12,Illinois State University ,Adrian College,,,,,
13,Liberty University,Adrian College,,,,,
14,Ferris State University,Adrian College,WEEK1,,,,
15,Southern Illinois University Edwardsville,Adrian College,,,,,
16,Illinois State University ,Southern Illinois University Edwardsville,,,,,
17,Liberty University,Southern Illinois University Edwardsville,,,,,
18,Ferris State University,Southern Illinois University Edwardsville,,,,,
19,Adrian College,Southern Illinois University Edwardsville,WEEK1,,,,
20,Liberty University,Illinois State University ,,,,,
21,Ferris State University,Illinois State University ,,,,,
22,Adrian College,Illinois State University ,,,,,
23,Southern Illinois University Edwardsville,Illinois State University ,,,,,
24,Ferris State University,Liberty University,,,,,
25,Adrian College,Liberty University,,,,,
26,Southern Illinois University Edwardsville,Liberty University,,,,,
27,Adrian College,Ferris State University,,,,,
28,Southern Illinois University Edwardsville,Ferris State University,,,,,
29,Southern Illinois University Edwardsville,Adrian College,,,,,
