,away_team,home_team,week,,,,,
0,Texas A&M University,Arkansas State University,,,,36 matches ,6 weeks ,6 matches per week
1,Texas State University,Arkansas State University,,,,,,
2,University of Northern Iowa ,Arkansas State University,,,,,,
3,"University of Tennessee, Knoxville",Arkansas State University,,,,,,
4,University of Iowa,Arkansas State University,WEEK1,,,,,
5,Arkansas State University,Texas A&M University,WEEK1,,,,,
6,Texas State University,Texas A&M University,,,,,,
7,University of Northern Iowa ,Texas A&M University,,,,,,
8,"University of Tennessee, Knoxville",Texas A&M University,,,,,,
9,University of Iowa,Texas A&M University,,,,,,
10,Arkansas State University,Texas State University,,,,,,
11,Texas A&M University,Texas State University,WEEK1,,,,,
12,University of Northern Iowa ,Texas State University,,,,,,
13,"University of Tennessee, Knoxville",Texas State University,,,,,,
14,University of Iowa,Texas State University,,,,,,
15,Arkansas State University,University of Northern Iowa ,,,,,,
16,Texas A&M University,University of Northern Iowa ,,,,,,
17,Texas State University,University of Northern Iowa ,WEEK1,,,,,
18,"University of Tennessee, Knoxville",University of Northern Iowa ,,,,,,
19,University of Iowa,University of Northern Iowa ,,,,,,
20,Arkansas State University,"University of Tennessee, Knoxville",,,,,,
21,Texas A&M University,"University of Tennessee, Knoxville",,,,,,
22,Texas State University,"University of Tennessee, Knoxville",,,,,,
23,University of Northern Iowa ,"University of Tennessee, Knoxville",WEEK1,,,,,
24,University of Iowa,"University of Tennessee, Knoxville",,,,,,
25,Arkansas State University,University of Iowa,,,,,,
26,Texas A&M University,University of Iowa,,,,,,
27,Texas State University,University of Iowa,,,,,,
28,University of Northern Iowa ,University of Iowa,,,,,,
29,"University of Tennessee, Knoxville",University of Iowa,WEEK1,,,,,
30,Texas A&M University,Arkansas State University,,,,,,
31,Texas State University,Arkansas State University,,,,,,
32,Texas State University,Texas A&M University,,,,,,
33,"University of Tennessee, Knoxville",University of Northern Iowa ,,,,,,
34,University of Iowa,University of Northern Iowa ,,,,,,
35,University of Iowa,"University of Tennessee, Knoxville",,,,,,
